"mo_id","state_code","county_code","site_number","parameter_code","poc","sample_duration","pollutant_standard_id","pollutant_standard","dv_year","edt_id","design_value","observation_count","observation_percent","dv_validity_indicator","si_id","latitude","longitude","state_name","county_name","city_name","address","local_site_name","cbsa_name","epa_region","tribal_code","tribe_name","select_date"
"6446","04","013","0019","42602","1","1 HOUR","8","NO2 Annual 1971","2015","0","16.390881","8619","98","Y","575","33.48378","-112.14256","Arizona","Maricopa","Phoenix","3847 W EARLL DR-WEST PHOENIX STATION","WEST PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2015-01-01 00:00:00"
"6446","04","013","0019","42602","1","1 HOUR","8","NO2 Annual 1971","2016","0","16.2369","8607","98","Y","575","33.48378","-112.14256","Arizona","Maricopa","Phoenix","3847 W EARLL DR-WEST PHOENIX STATION","WEST PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2016-01-01 00:00:00"
"6446","04","013","0019","42602","1","1 HOUR","8","NO2 Annual 1971","2017","0","16.990608","8624","98","Y","575","33.48378","-112.14256","Arizona","Maricopa","Phoenix","3847 W EARLL DR-WEST PHOENIX STATION","WEST PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2017-01-01 00:00:00"
"6446","04","013","0019","42602","1","1 HOUR","8","NO2 Annual 1971","2018","0","16.120688","8609","98","Y","575","33.48378","-112.14256","Arizona","Maricopa","Phoenix","3847 W EARLL DR-WEST PHOENIX STATION","WEST PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2018-01-01 00:00:00"
"6446","04","013","0019","42602","1","1 HOUR","8","NO2 Annual 1971","2019","0","14.067848","8578","98","Y","575","33.48378","-112.14256","Arizona","Maricopa","Phoenix","3847 W EARLL DR-WEST PHOENIX STATION","WEST PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2019-01-01 00:00:00"
"6446","04","013","0019","42602","1","1 HOUR","8","NO2 Annual 1971","2020","0","13.363572","8433","96","Y","575","33.48378","-112.14256","Arizona","Maricopa","Phoenix","3847 W EARLL DR-WEST PHOENIX STATION","WEST PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2020-01-01 00:00:00"
"6446","04","013","0019","42602","1","1 HOUR","8","NO2 Annual 1971","2021","0","14.660973","8548","98","Y","575","33.48378","-112.14256","Arizona","Maricopa","Phoenix","3847 W EARLL DR-WEST PHOENIX STATION","WEST PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2021-01-01 00:00:00"
"6446","04","013","0019","42602","1","1 HOUR","8","NO2 Annual 1971","2022","0","13.99131","8631","99","Y","575","33.48378","-112.14256","Arizona","Maricopa","Phoenix","3847 W EARLL DR-WEST PHOENIX STATION","WEST PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2022-01-01 00:00:00"
"6446","04","013","0019","42602","1","1 HOUR","8","NO2 Annual 1971","2023","0","14.434902","8349","95","Y","575","33.48378","-112.14256","Arizona","Maricopa","Phoenix","3847 W EARLL DR-WEST PHOENIX STATION","WEST PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2023-01-01 00:00:00"
"6874","04","013","3002","42602","6","1 HOUR","8","NO2 Annual 1971","2014","0","19.442314","8607","98","Y","595","33.45797","-112.04659","Arizona","Maricopa","Phoenix","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","CENTRAL PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2014-01-01 00:00:00"
"6874","04","013","3002","42602","6","1 HOUR","8","NO2 Annual 1971","2015","0","17.854947","8459","97","Y","595","33.45797","-112.04659","Arizona","Maricopa","Phoenix","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","CENTRAL PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2015-01-01 00:00:00"
